nodenumber     x-coordinate     y-coordinate 
       145  4.998968647E-01  4.166666667E-02 
       146  5.198927393E-01  4.166666667E-02 
       147  5.398886139E-01  4.166666667E-02 
       148  5.598844884E-01  4.166666667E-02 
       149  5.798803630E-01  4.166666667E-02 
       150  5.998762376E-01  4.166666667E-02 
       151  6.198721122E-01  4.166666667E-02 
       152  6.398679868E-01  4.166666667E-02 
       153  6.598638614E-01  4.166666667E-02 
       154  6.798597360E-01  4.166666667E-02 
       155  6.998556106E-01  4.166666667E-02 
       156  7.198514851E-01  4.166666667E-02 
       157  7.398473597E-01  4.166666667E-02 
       158  7.598432343E-01  4.166666667E-02 
       159  7.798391089E-01  4.166666667E-02 
       160  7.998349835E-01  4.166666667E-02 
       161  8.198308581E-01  4.166666667E-02 
       162  8.398267327E-01  4.166666667E-02 
       163  8.598226073E-01  4.166666667E-02 
       164  8.798184818E-01  4.166666667E-02 
       165  8.998143564E-01  4.166666667E-02 
       166  9.198102310E-01  4.166666667E-02 
       167  9.398061056E-01  4.166666667E-02 
       168  9.598019802E-01  4.166666667E-02 
       169  9.797978548E-01  4.166666667E-02 
       170  9.997937294E-01  4.166666667E-02 
       171  1.137165922E+00  4.478297430E-02 
       172  1.254901961E+00  4.494609312E-02 
       173  1.019405617E+00  4.505202945E-02 
       174  1.156775788E+00  4.820435158E-02 
       175  1.274509804E+00  4.840348490E-02 
       176  1.039017505E+00  4.843739223E-02 
       177  1.176385653E+00  5.162572886E-02 
       178  1.058629392E+00  5.182275502E-02 
       179  1.294117647E+00  5.186087668E-02 
       180  1.195995519E+00  5.504710614E-02 
       181  1.078241280E+00  5.520811780E-02 
       182  1.313725490E+00  5.531826846E-02 
       183  1.215605384E+00  5.846848342E-02 
       184  1.097853168E+00  5.859348058E-02 
       185  1.333333333E+00  5.877566024E-02 
       186  1.235215249E+00  6.188986070E-02 
       187  1.117465055E+00  6.197884337E-02 
       188  1.352941176E+00  6.223305201E-02 
       189  3.469446952E-17  6.250000000E-02 
       190  1.999381188E-02  6.250000000E-02 
       191  3.998762376E-02  6.250000000E-02 
       192  5.998143564E-02  6.250000000E-02 
       193  7.997524752E-02  6.250000000E-02 
       194  9.996905941E-02  6.250000000E-02 
       195  1.199628713E-01  6.250000000E-02 
       196  1.399566832E-01  6.250000000E-02 
       197  1.599504950E-01  6.250000000E-02 
       198  1.799443069E-01  6.250000000E-02 
       199  1.999381188E-01  6.250000000E-02 
       200  2.199319307E-01  6.250000000E-02 
       201  2.399257426E-01  6.250000000E-02 
       202  2.599195545E-01  6.250000000E-02 
       203  2.799133663E-01  6.250000000E-02 
       204  2.999071782E-01  6.250000000E-02 
       205  3.199009901E-01  6.250000000E-02 
       206  3.398948020E-01  6.250000000E-02 
       207  3.598886139E-01  6.250000000E-02 
       208  3.798824257E-01  6.250000000E-02 
       209  3.998762376E-01  6.250000000E-02 
       210  4.198700495E-01  6.250000000E-02 
       211  4.398638614E-01  6.250000000E-02 
       212  4.598576733E-01  6.250000000E-02 
       213  4.798514851E-01  6.250000000E-02 
       214  4.998452970E-01  6.250000000E-02 
       215  5.198391089E-01  6.250000000E-02 
       216  5.398329208E-01  6.250000000E-02 
       217  5.598267327E-01  6.250000000E-02 
       218  5.798205446E-01  6.250000000E-02 
       219  5.998143564E-01  6.250000000E-02 
       220  6.198081683E-01  6.250000000E-02 
       221  6.398019802E-01  6.250000000E-02 
       222  6.597957921E-01  6.250000000E-02 
       223  6.797896040E-01  6.250000000E-02 
       224  6.997834158E-01  6.250000000E-02 
       225  7.197772277E-01  6.250000000E-02 
       226  7.397710396E-01  6.250000000E-02 
       227  7.597648515E-01  6.250000000E-02 
       228  7.797586634E-01  6.250000000E-02 
       229  7.997524752E-01  6.250000000E-02 
       230  8.197462871E-01  6.250000000E-02 
       231  8.397400990E-01  6.250000000E-02 
       232  8.597339109E-01  6.250000000E-02 
       233  8.797277228E-01  6.250000000E-02 
       234  8.997215347E-01  6.250000000E-02 
       235  9.197153465E-01  6.250000000E-02 
       236  9.397091584E-01  6.250000000E-02 
       237  9.597029703E-01  6.250000000E-02 
       238  9.796967822E-01  6.250000000E-02 
       239  9.996905941E-01  6.250000000E-02 
       240  1.254825115E+00  6.531123799E-02 
       241  1.137076943E+00  6.536420615E-02 
       242  1.372549020E+00  6.569044379E-02 
       243  1.019304504E+00  6.584934829E-02 
       244  1.274434980E+00  6.873261527E-02 
       245  1.156688831E+00  6.874956893E-02 
       246  1.392156863E+00  6.914783557E-02 
       247  1.038918414E+00  6.919869657E-02 
       248  1.176300718E+00  7.213493172E-02 
       249  1.294044846E+00  7.215399255E-02 
       250  1.058532324E+00  7.254804486E-02 
       251  1.411764706E+00  7.260522735E-02 
       252  1.195912606E+00  7.552029450E-02 
       253  1.313654711E+00  7.557536983E-02 
       254  1.078146234E+00  7.589739314E-02 
       255  1.431372549E+00  7.606261913E-02 
       256  1.215524494E+00  7.890565728E-02 
       257  1.333264576E+00  7.899674711E-02 
       258  1.097760144E+00  7.924674143E-02 
       259  1.450980392E+00  7.952001091E-02 
       260  1.235136381E+00  8.229102007E-02 
       261  1.352874442E+00  8.241812439E-02 
       262  1.117374054E+00  8.259608971E-02 
       263  1.470588235E+00  8.297740269E-02 
       264  4.625929269E-17  8.333333333E-02 
       265  1.999174917E-02  8.333333333E-02 
       266  3.998349835E-02  8.333333333E-02 
       267  5.997524752E-02  8.333333333E-02 
       268  7.996699670E-02  8.333333333E-02 
       269  9.995874587E-02  8.333333333E-02 
       270  1.199504950E-01  8.333333333E-02 
       271  1.399422442E-01  8.333333333E-02 
       272  1.599339934E-01  8.333333333E-02 
       273  1.799257426E-01  8.333333333E-02 
       274  1.999174917E-01  8.333333333E-02 
       275  2.199092409E-01  8.333333333E-02 
       276  2.399009901E-01  8.333333333E-02 
       277  2.598927393E-01  8.333333333E-02 
       278  2.798844884E-01  8.333333333E-02 
       279  2.998762376E-01  8.333333333E-02 
       280  3.198679868E-01  8.333333333E-02 
       281  3.398597360E-01  8.333333333E-02 
       282  3.598514851E-01  8.333333333E-02 
       283  3.798432343E-01  8.333333333E-02 
       284  3.998349835E-01  8.333333333E-02 
       285  4.198267327E-01  8.333333333E-02 
       286  4.398184818E-01  8.333333333E-02 
       287  4.598102310E-01  8.333333333E-02 
       288  4.798019802E-01  8.333333333E-02 
       289  4.997937294E-01  8.333333333E-02 
       290  5.197854785E-01  8.333333333E-02 
       291  5.397772277E-01  8.333333333E-02 
       292  5.597689769E-01  8.333333333E-02 
       293  5.797607261E-01  8.333333333E-02 
       294  5.997524752E-01  8.333333333E-02 
       295  6.197442244E-01  8.333333333E-02 
       296  6.397359736E-01  8.333333333E-02 
       297  6.597277228E-01  8.333333333E-02 
       298  6.797194719E-01  8.333333333E-02 
       299  6.997112211E-01  8.333333333E-02 
       300  7.197029703E-01  8.333333333E-02 
       301  7.396947195E-01  8.333333333E-02 
       302  7.596864686E-01  8.333333333E-02 
       303  7.796782178E-01  8.333333333E-02 
       304  7.996699670E-01  8.333333333E-02 
       305  8.196617162E-01  8.333333333E-02 
       306  8.396534653E-01  8.333333333E-02 
       307  8.596452145E-01  8.333333333E-02 
       308  8.796369637E-01  8.333333333E-02 
       309  8.996287129E-01  8.333333333E-02 
       310  9.196204620E-01  8.333333333E-02 
       311  9.396122112E-01  8.333333333E-02 
       312  9.596039604E-01  8.333333333E-02 
       313  9.795957096E-01  8.333333333E-02 
       314  9.995874587E-01  8.333333333E-02 
       315  1.254748269E+00  8.567638285E-02 
       316  1.372484307E+00  8.583950167E-02 
       317  1.136987964E+00  8.594543800E-02 
       318  1.490196078E+00  8.643479446E-02 
       319  1.019203391E+00  8.664666712E-02 
       320  1.274360157E+00  8.906174563E-02 
       321  1.392094173E+00  8.926087895E-02 
       322  1.156601873E+00  8.929478628E-02 
       323  1.509803922E+00  8.989218624E-02 
       324  1.038819323E+00  8.996000091E-02 
       325  1.293972044E+00  9.244710841E-02 
       326  1.176215783E+00  9.264413457E-02 
       327  1.411704038E+00  9.268225623E-02 
       328  1.058435255E+00  9.327333470E-02 
       329  1.529411765E+00  9.334957802E-02 
       330  1.313583932E+00  9.583247120E-02 
       331  1.195829693E+00  9.599348286E-02 
       332  1.431313903E+00  9.610363351E-02 
       333  1.078051187E+00  9.658666848E-02 
       334  1.549019608E+00  9.680696980E-02 
       335  1.333195820E+00  9.921783398E-02 
       336  1.215443603E+00  9.934283114E-02 
       337  1.450923769E+00  9.952501079E-02 
       338  1.097667120E+00  9.990000227E-02 
       339  1.568627451E+00  1.002643616E-01 
       340  1.352807707E+00  1.026031968E-01 
       341  1.235057513E+00  1.026921794E-01 
       342  1.470533634E+00  1.029463881E-01 
       343  1.117283052E+00  1.032133361E-01 
       344  1.588235294E+00  1.037217534E-01 
       345  5.782411587E-17  1.041666667E-01 
       346  1.998968647E-02  1.041666667E-01 
       347  3.997937294E-02  1.041666667E-01 
       348  5.996905941E-02  1.041666667E-01 
       349  7.995874587E-02  1.041666667E-01 
       350  9.994843234E-02  1.041666667E-01 
       351  1.199381188E-01  1.041666667E-01 
       352  1.399278053E-01  1.041666667E-01 
       353  1.599174917E-01  1.041666667E-01 
       354  1.799071782E-01  1.041666667E-01 
       355  1.998968647E-01  1.041666667E-01 
       356  2.198865512E-01  1.041666667E-01 
       357  2.398762376E-01  1.041666667E-01 
       358  2.598659241E-01  1.041666667E-01 
       359  2.798556106E-01  1.041666667E-01 
       360  2.998452970E-01  1.041666667E-01 
       361  3.198349835E-01  1.041666667E-01 
       362  3.398246700E-01  1.041666667E-01 
       363  3.598143564E-01  1.041666667E-01 
       364  3.798040429E-01  1.041666667E-01 
       365  3.997937294E-01  1.041666667E-01 
       366  4.197834158E-01  1.041666667E-01 
       367  4.397731023E-01  1.041666667E-01 
       368  4.597627888E-01  1.041666667E-01 
       369  4.797524752E-01  1.041666667E-01 
       370  4.997421617E-01  1.041666667E-01 
       371  5.197318482E-01  1.041666667E-01 
       372  5.397215347E-01  1.041666667E-01 
       373  5.597112211E-01  1.041666667E-01 
       374  5.797009076E-01  1.041666667E-01 
       375  5.996905941E-01  1.041666667E-01 
       376  6.196802805E-01  1.041666667E-01 
       377  6.396699670E-01  1.041666667E-01 
       378  6.596596535E-01  1.041666667E-01 
       379  6.796493399E-01  1.041666667E-01 
       380  6.996390264E-01  1.041666667E-01 
       381  7.196287129E-01  1.041666667E-01 
       382  7.396183993E-01  1.041666667E-01 
       383  7.596080858E-01  1.041666667E-01 
       384  7.795977723E-01  1.041666667E-01 
       385  7.995874587E-01  1.041666667E-01 
       386  8.195771452E-01  1.041666667E-01 
       387  8.395668317E-01  1.041666667E-01 
       388  8.595565182E-01  1.041666667E-01 
       389  8.795462046E-01  1.041666667E-01 
       390  8.995358911E-01  1.041666667E-01 
       391  9.195255776E-01  1.041666667E-01 
       392  9.395152640E-01  1.041666667E-01 
       393  9.595049505E-01  1.041666667E-01 
       394  9.794946370E-01  1.041666667E-01 
       395  9.994843234E-01  1.041666667E-01 
       396  1.372419595E+00  1.059885595E-01 
       397  1.254671423E+00  1.060415277E-01 
       398  1.490143500E+00  1.063677654E-01 
       399  1.136898984E+00  1.065266698E-01 
       400  1.607843137E+00  1.071791451E-01 
       401  1.019102278E+00  1.074439860E-01 
       402  1.392031483E+00  1.093739223E-01 
       403  1.274285333E+00  1.093908760E-01 
       404  1.509753365E+00  1.097891426E-01 
       405  1.156514916E+00  1.098400036E-01 
       406  1.627450980E+00  1.106365369E-01 
       407  1.038720232E+00  1.107213052E-01 
       408  1.293899243E+00  1.127402243E-01 
       409  1.411643370E+00  1.127592851E-01 
       410  1.176130848E+00  1.131533374E-01 
       411  1.529363230E+00  1.132105199E-01 
       412  1.058338187E+00  1.139986245E-01 
       413  1.647058824E+00  1.140939287E-01 
       414  1.313513153E+00  1.160895726E-01 
       415  1.431255258E+00  1.161446479E-01 
       416  1.195746781E+00  1.164666712E-01 
       417  1.548973096E+00  1.166318972E-01 
       418  1.077956141E+00  1.172759438E-01 
       419  1.666666667E+00  1.175513205E-01 
       420  1.333127063E+00  1.194389209E-01 
       421  1.450867146E+00  1.195300107E-01 
       422  1.215362713E+00  1.197800050E-01 
       423  1.568582961E+00  1.200532745E-01 
       424  1.097574096E+00  1.205532631E-01 
       425  1.686274510E+00  1.210087123E-01 
       426  1.352740973E+00  1.227882691E-01 
       427  1.470479033E+00  1.229153735E-01 
       428  1.234978645E+00  1.230933388E-01 
       429  1.588192827E+00  1.234746518E-01 
       430  1.117192050E+00  1.238305824E-01 
       431  1.705882353E+00  1.244661040E-01 
       432  6.938893904E-17  1.250000000E-01 
       433  1.998762376E-02  1.250000000E-01 
       434  3.997524752E-02  1.250000000E-01 
       435  5.996287129E-02  1.250000000E-01 
       436  7.995049505E-02  1.250000000E-01 
       437  9.993811881E-02  1.250000000E-01 
       438  1.199257426E-01  1.250000000E-01 
       439  1.399133663E-01  1.250000000E-01 
       440  1.599009901E-01  1.250000000E-01 
       441  1.798886139E-01  1.250000000E-01 
       442  1.998762376E-01  1.250000000E-01 
       443  2.198638614E-01  1.250000000E-01 
       444  2.398514851E-01  1.250000000E-01 
       445  2.598391089E-01  1.250000000E-01 
       446  2.798267327E-01  1.250000000E-01 
       447  2.998143564E-01  1.250000000E-01 
       448  3.198019802E-01  1.250000000E-01 
       449  3.397896040E-01  1.250000000E-01 
       450  3.597772277E-01  1.250000000E-01 
       451  3.797648515E-01  1.250000000E-01 
       452  3.997524752E-01  1.250000000E-01 
       453  4.197400990E-01  1.250000000E-01 
       454  4.397277228E-01  1.250000000E-01 
       455  4.597153465E-01  1.250000000E-01 
       456  4.797029703E-01  1.250000000E-01 
       457  4.996905941E-01  1.250000000E-01 
       458  5.196782178E-01  1.250000000E-01 
       459  5.396658416E-01  1.250000000E-01 
       460  5.596534653E-01  1.250000000E-01 
       461  5.796410891E-01  1.250000000E-01 
       462  5.996287129E-01  1.250000000E-01 
       463  6.196163366E-01  1.250000000E-01 
       464  6.396039604E-01  1.250000000E-01 
       465  6.595915842E-01  1.250000000E-01 
       466  6.795792079E-01  1.250000000E-01 
       467  6.995668317E-01  1.250000000E-01 
       468  7.195544554E-01  1.250000000E-01 
       469  7.395420792E-01  1.250000000E-01 
       470  7.595297030E-01  1.250000000E-01 
       471  7.795173267E-01  1.250000000E-01 
       472  7.995049505E-01  1.250000000E-01 
       473  8.194925743E-01  1.250000000E-01 
       474  8.394801980E-01  1.250000000E-01 
       475  8.594678218E-01  1.250000000E-01 
       476  8.794554455E-01  1.250000000E-01 
       477  8.994430693E-01  1.250000000E-01 
       478  9.194306931E-01  1.250000000E-01 
       479  9.394183168E-01  1.250000000E-01 
       480  9.594059406E-01  1.250000000E-01 
       481  9.793935644E-01  1.250000000E-01 
       482  9.993811881E-01  1.250000000E-01 
       483  1.372354883E+00  1.261376174E-01 
       484  1.490090921E+00  1.263007362E-01 
       485  1.254594577E+00  1.264066726E-01 
       486  1.607802692E+00  1.268960290E-01 
       487  1.136810005E+00  1.271079017E-01 
       488  1.725490196E+00  1.279234958E-01 
       489  1.019001165E+00  1.282413048E-01 
       490  1.391968792E+00  1.294869657E-01 
       491  1.509702809E+00  1.296860990E-01 
       492  1.274210509E+00  1.297200064E-01 
       493  1.627412557E+00  1.303174063E-01 
       494  1.156427959E+00  1.303852210E-01 
       495  1.745098039E+00  1.313808876E-01 
       496  1.038621142E+00  1.314826096E-01 
       497  1.411582702E+00  1.328363140E-01 
       498  1.293826441E+00  1.330333402E-01 
       499  1.529314696E+00  1.330714618E-01 
       500  1.176045913E+00  1.336625403E-01 
       501  1.647022423E+00  1.337387836E-01 
       502  1.058241118E+00  1.347239144E-01 
       503  1.764705882E+00  1.348382794E-01 
       504  1.431196612E+00  1.361856623E-01 
       505  1.313442374E+00  1.363466739E-01 
       506  1.548926584E+00  1.364568246E-01 
       507  1.195663868E+00  1.369398596E-01 
       508  1.666632288E+00  1.371601609E-01 
       509  1.077861095E+00  1.379652192E-01 
       510  1.784313725E+00  1.382956711E-01 
       511  1.450810522E+00  1.395350106E-01 
       512  1.333058306E+00  1.396600077E-01 
       513  1.568538471E+00  1.398421874E-01 
       514  1.215281822E+00  1.402171789E-01 
       515  1.686242154E+00  1.405815382E-01 
       516  1.097481072E+00  1.412065240E-01 
       517  1.803921569E+00  1.417530629E-01 
       518  1.470424432E+00  1.428843589E-01 
       519  1.352674238E+00  1.429733415E-01 
       520  1.588150359E+00  1.432275502E-01 
       521  1.234899777E+00  1.434944981E-01 
       522  1.705852019E+00  1.440029154E-01 
       523  1.117101048E+00  1.444478288E-01 
       524  1.823529412E+00  1.452104547E-01 
       525  8.095376221E-17  1.458333333E-01 
       526  1.998556106E-02  1.458333333E-01 
       527  3.997112211E-02  1.458333333E-01 
       528  5.995668317E-02  1.458333333E-01 
       529  7.994224422E-02  1.458333333E-01 
       530  9.992780528E-02  1.458333333E-01 
       531  1.199133663E-01  1.458333333E-01 
       532  1.398989274E-01  1.458333333E-01 
       533  1.598844884E-01  1.458333333E-01 
       534  1.798700495E-01  1.458333333E-01 
       535  1.998556106E-01  1.458333333E-01 
       536  2.198411716E-01  1.458333333E-01 
       537  2.398267327E-01  1.458333333E-01 
       538  2.598122937E-01  1.458333333E-01 
       539  2.797978548E-01  1.458333333E-01 
       540  2.997834158E-01  1.458333333E-01 
       541  3.197689769E-01  1.458333333E-01 
